Id,comment_text,topic,conspiracy
0,"Siamo davanti ad una prova, e non solo di quoziente intellettivo, ma spirituale. Qui l’intelligenza non c’entra, è questione di apertura mentale, di aver il coraggio di mettere in discussione il sistema, di crearsi la propria opinione da soli, facendo ognuno le proprie ricerche, fidandosi del proprio istinto, delle proprie sensazioni ed usando il discernimento, senza bersi a priori quello che il sistema ci vende ogni giorno. Vuol dire rimettere in gioco tutto, il nostro passato, la nostra istruzione, le nostre credenze. All’inizio è dura, molto dura, ma poi ti senti libero. La gente si sta svegliando, ma ognuno ha i propri tempi, vanno rispettati. Capisco che per molti sia frustrante, ma rendetevi conto che siete “fortunati”, siete liberi con tutti i costi del caso. Potrete raccontare ai vostri figli, ai vostri nipoti quello che avete fatto in questi tempi bui",Qanon,1
1,La storia dei 2 bimbi di Bergamo - vaccini: qusto giornale non accenna neppure alla strana coincidenza,Covid,0
2,L'avete capito che non toglieranno il green pass ma che anzi faranno finta di togliere delle restrizioni ma allo stesso tempo ne metteranno altre?,Covid,0
3,Quindi  la farsa dello spazio e della terra a pallone continua con i suoi finti viaggi lunari e marziani.. per il motivo che  vengono finanziati di migliardi d idollari.. a poco costo.. dato che lanciano un razzo che poi e' destinato a cadere nell'oceano.. o atterrare solo in una base.. la gente poi ci casca dato che dopo aver visto il lancio (reale)  poi assiste a un film fatto in uno studio lo stesso dove sfornano i film della Marvel.. dove con la reata' virtuale possono fare cio' che vogliono!!,Terra Piatta,3
4,"In breve tempo, per accedere a Internet, sarà richiesto un documento d'identità Digitale.",Qanon,1
5,"Quelle che sembrano buone iniziative spesso finiscono per diventare brutte notiIe...

STRASBURGO, 25 AGO - La Corte europea dei diritti umani di Strasburgo ha respinto un ricorso presentato da 672 fra vigili del fuoco professionali e volonta XDri contro la legge francese che impone loro l'obbligo di essere vaccinati contro il Covid-19. (ANSA-AFP",Covid,0
6,Se come sembra questo pianeta influenza il congenio alieno che noi chiamiamo sole.. ed luna.. Ovvio che saranno cavoli per tutti,Terra Piatta,3
7,"DA BRIAN CATES 

Dall'analisi dell'intelligence russa incredibilmente accurata che la CIA ha intercettato durante la riunione dello staff della campagna di Hillary For America di alto livello: sappiamo cosa ha detto perché gli appunti dell'ex direttore della CIA John Brennan ci dicono cosa ha detto. Ha detto che lo staff della campagna di Hillary Clinton le ha portato un piano che avrebbero escogitato per diffamare Donald Trump con false diffamazioni di collusione russa come mezzo per distrarre il pubblico dal suo scandalo del server di posta elettronica molto reale e assolu NON FALSO. E non è tutto!

Gli appunti di Brennan hanno continuato rivelando quale particolare membro del personale di punta della campagna elettorale di Hillary Clinton è stato l'architetto di questo piano di collusione Trump/Russia. Era il principale consigliere di politica estera di Clinton. Chi era questo ragazzo... Jake Sullivan. Sai, il tizio che attualmente serve come CONSIGLIERE NAZIONALE PER LA SICUREZZA DI Joe Biden.

",Qanon,1
8,"🔴🔴 VACCINI COVID: PIÙ RISCHI NEI GUARITI 

Gli studi dimostrano che le Reazioni Avverse da vaccini COVID19 sono superiori nei guariti.

Sia la risposta immunitaria già presente che la modalità di entrata del virus (un conto è la reinfezione per via naturale, altro è iniettare MRNA virale...) portano l'organismo di molte persone a iper-reagire: è come se il corpo vedesse una minaccia maggiore, cui può rispondere anche in modo rischioso per la vita.

L'immunologo Riccardo Ortolani: il bilancio benefici/costi è net negativo!

#lachiesachecè",Covid,0
9,"❗️**i leccaculo di Carlo De Benedetti arrivano a minacciare chi ""con nome e cognome non si tirano indietro"" a criticare la narrazione della loro propaganda sul cancro femminista. 

Nella società che vogliono loro, ""democratica e senza discriminazioni"" si arriverà a un punto in cui se commenterai su internet che non sei d'accordo con la loro narrativa allora sarai escluso dalla società, come hanno fatto con il certificato schiavitù, dove se non sei d'accordo a conformarti alla loro narrativa e avvelenarti allora sei escluso dalla società.

****",Qanon,1
